City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,los llanos de aridane,28.6585,-17.9182,17.29,73,40,7.72,ES,1684205669
148,tabas,33.5959,56.9244,20.12,37,0,2.06,IR,1684205669
149,chengde,40.9725,117.9361,32.37,20,100,2.38,CN,1684205669
150,kieta,-6.2167,155.6333,29.0,79,82,2.11,PG,1684205669
151,arlit,18.7369,7.3853,32.86,11,97,5.59,NE,1684205670
152,vestmannaeyjar,63.4427,-20.2734,3.25,68,19,4.04,IS,1684205670
153,amasia,40.6533,35.8331,4.85,72,96,1.08,TR,1684205671
154,tevaitoa,-16.7833,-151.5,27.6,72,51,2.71,PF,1684205671
155,avera,33.194,-82.5271,21.41,79,35,3.01,US,1684205672
156,taoudenni,22.6783,-3.9836,27.72,10,6,5.03,ML,1684205672
157,port alfred,-33.5906,26.891,14.0,75,7,3.3,ZA,1684205551
158,enid,36.3956,-97.8784,17.24,85,100,4.63,US,1684205620
159,salinas,36.6777,-121.6555,15.15,77,0,4.63,US,1684205674
160,saint-leu,-21.15,55.2833,22.54,87,0,2.01,RE,1684205674
161,vicuna,-30.0319,-70.7081,10.85,67,0,0.08,CL,1684205674
162,maple creek,49.9168,-109.4848,23.03,40,0,3.6,CA,1684205674
163,olovyannaya,50.95,115.5667,12.72,14,0,5.93,RU,1684205675
164,saint george,37.1041,-113.5841,29.57,22,0,2.57,US,1684205675
165,tucumcari,35.1717,-103.725,19.41,51,44,4.26,US,1684205676
166,karratha,-20.7377,116.8463,25.88,25,0,3.94,AU,1684205676
167,sibolga,1.7427,98.7792,29.98,64,95,1.26,ID,1684205677
168,teknaf,20.8624,92.3058,28.73,77,28,4.69,BD,1684205677
169,dharchula,29.85,80.5333,26.97,21,1,1.17,IN,1684205677
170,djambala,-2.5447,14.7533,21.12,93,79,1.57,CG,1684205677
171,cape town,-33.9258,18.4232,14.84,75,0,5.66,ZA,1684205677
172,padang,-0.9492,100.3543,30.03,70,26,1.31,ID,1684205677
173,cumpas,29.9833,-109.7833,26.73,25,37,1.49,MX,1684205678
174,sosva,59.1766,61.8558,11.48,53,21,2.46,RU,1684205678
175,tartus,34.889,35.8866,22.0,45,0,4.54,SY,1684205678
176,fortuna,40.5982,-124.1573,15.05,86,0,6.17,US,1684205678
177,inuvik,68.3499,-133.7218,18.92,23,40,4.12,CA,1684205679
178,nikolayevsk-na-amure,53.1406,140.73,15.87,46,74,4.84,RU,1684205679
179,geraldton,-28.7667,114.6,22.23,43,65,6.17,AU,1684205679
180,ixtapa,20.7,-105.2,26.57,74,40,5.14,MX,1684205466
181,komsomolskiy,40.4272,71.7189,25.4,31,100,3.09,UZ,1684205679
182,isabela,6.7085,121.9711,31.03,67,30,2.75,PH,1684205680
183,ahipara,-35.1667,173.1667,18.23,68,57,3.98,NZ,1684205680
184,nadym,65.5333,72.5167,-0.94,82,99,10.81,RU,1684205680
185,wajima,37.4,136.9,23.38,49,20,3.09,JP,1684205680
186,kachug,53.9606,105.8817,11.22,34,97,4.4,RU,1684205680
187,klaksvik,62.2266,-6.589,3.51,75,100,12.1,FO,1684205680
188,yellowknife,62.456,-114.3525,9.29,87,100,8.23,CA,1684205581
189,hambantota,6.1241,81.1185,28.19,100,20,1.54,LK,1684205681
190,faanui,-16.4833,-151.75,27.73,73,46,3.02,PF,1684205681
191,saint-philippe,-21.3585,55.7679,22.77,76,1,3.28,RE,1684205681
192,hanyang,32.1371,105.5126,24.37,47,9,2.41,CN,1684205681
193,dudinka,69.4058,86.1778,-1.32,87,97,2.87,RU,1684205682
194,irbeyskoye,55.6428,95.4522,6.89,79,100,4.64,RU,1684205682
195,port hedland,-20.3167,118.5667,30.03,17,0,5.14,AU,1684205683
196,sitka,57.0531,-135.33,14.94,58,0,8.23,US,1684205683
197,ilulissat,69.2167,-51.1,-1.99,93,75,1.54,GL,1684205683
198,namibe,-15.1961,12.1522,20.63,75,37,3.69,AO,1684205683
199,yabelo,4.8833,38.0833,15.5,85,98,2.1,ET,1684205684
200,san rafael del sur,11.8485,-86.4384,31.54,67,94,3.39,NI,1684205684
201,porto novo,6.4965,2.6036,25.9,85,100,1.93,BJ,1684205414
202,mana,5.6592,-53.7767,25.49,92,99,2.92,GF,1684205685
203,awjilah,29.1081,21.2869,20.64,65,2,9.95,LY,1684205685
204,bluff,-46.6,168.3333,15.01,68,7,6.45,NZ,1684205685
205,cangucu,-31.395,-52.6756,11.85,94,1,0.64,BR,1684205519
206,tuktoyaktuk,69.4541,-133.0374,8.0,57,75,4.63,CA,1684205685
207,dhing,26.4667,92.4667,26.66,64,24,3.5,IN,1684205686
208,kargasok,59.0556,80.8572,4.54,83,100,4.57,RU,1684205686
209,hasaki,35.7333,140.8333,22.22,67,2,6.65,JP,1684205686
210,bathsheba,13.2167,-59.5167,27.34,78,40,4.63,BB,1684205686
211,hirara,24.8,125.2833,27.15,74,75,5.66,JP,1684205687
212,lorengau,-2.0226,147.2712,29.26,81,95,4.01,PG,1684205687
213,amol,36.4696,52.3507,13.75,82,100,1.05,IR,1684205687
214,bahia blanca,-38.7196,-62.2724,19.98,47,24,6.0,AR,1684205521
215,lebu,-37.6167,-73.65,13.1,88,100,4.26,CL,1684205687
216,mendoza,-32.8908,-68.8272,14.74,77,1,0.0,AR,1684205594
217,alice springs,-23.7,133.8833,19.75,37,0,8.23,AU,1684205688
218,bestobe,52.4994,73.0975,15.71,49,25,4.06,KZ,1684205688
219,kloulklubed,7.0419,134.2556,26.28,81,100,6.73,PW,1684205688
220,jalu,29.0331,21.5482,20.92,61,4,9.18,LY,1684205689
221,laguna,38.421,-121.4238,26.21,35,0,3.6,US,1684205689
222,gamba,-2.65,10.0,25.0,94,100,2.15,GA,1684205689
223,touros,-5.1989,-35.4608,24.85,90,14,3.96,BR,1684205595
224,yar-sale,66.8333,70.8333,-1.84,89,97,9.76,RU,1684205689
225,lekoni,-1.5843,14.2591,23.88,86,69,1.39,GA,1684205689
226,alta floresta,-9.8756,-56.0861,22.29,78,100,1.65,BR,1684205690
227,lulea,65.5842,22.1547,3.04,100,20,2.06,SE,1684205444
228,kuopio,62.8924,27.677,10.67,77,0,1.79,FI,1684205690
229,namtsy,62.7161,129.6658,10.48,79,100,3.49,RU,1684205690
230,nemuro,43.3236,145.575,7.03,94,100,3.4,JP,1684205615
231,miri,4.4148,114.0089,31.08,79,40,2.06,MY,1684205690
232,kavieng,-2.5744,150.7967,29.1,77,28,3.18,PG,1684205691
233,alamosa,37.4695,-105.87,12.99,62,100,5.66,US,1684205691
234,deputatskiy,69.3,139.9,-2.01,84,100,1.7,RU,1684205691
235,anadyr,64.75,177.4833,-2.72,74,0,4.0,RU,1684205691
236,yanai,33.9667,132.1167,21.0,60,0,1.89,JP,1684205691
237,leningradskiy,69.3833,178.4167,-3.14,66,9,1.37,RU,1684205691
238,omsukchan,62.5333,155.8,-0.01,79,98,4.27,RU,1684205692
239,beringovskiy,63.05,179.3167,-4.36,79,96,7.07,RU,1684205692
240,haapiti,-17.5667,-149.8667,28.73,68,28,2.53,PF,1684205692
241,noumea,-22.2763,166.4572,28.99,60,86,6.46,NC,1684205692
242,kristiinankaupunki,62.2743,21.376,9.76,70,82,3.03,FI,1684205692
243,labuhan,-6.8844,112.2051,28.45,67,15,1.12,ID,1684205693
244,gazanjyk,39.2446,55.5154,14.18,76,99,10.57,TM,1684205693
245,cherskiy,68.75,161.3,3.24,75,73,7.53,RU,1684205693
246,tura,25.5198,90.2201,28.29,65,0,1.27,IN,1684205693
247,berlevag,70.8578,29.0864,9.04,71,90,6.69,NO,1684205693
248,svidnik,49.3082,21.5703,12.01,94,100,0.66,SK,1684205694
249,norrtalje,59.758,18.705,10.24,70,100,1.83,SE,1684205694
250,lenoir,35.2335,-77.6497,19.04,59,40,1.54,US,1684205694
251,hobyo,5.3505,48.5268,27.46,73,93,7.16,SO,1684205694
252,calama,-22.4667,-68.9333,10.27,23,0,6.17,CL,1684205694
253,sechura,-5.5569,-80.8222,25.12,71,93,6.9,PE,1684205695
254,aripuana,-9.1667,-60.6333,23.52,82,100,0.37,BR,1684205695
255,manggar,-2.8833,108.2667,29.87,65,8,4.58,ID,1684205695
256,allonnes,47.9674,0.1581,8.02,81,0,3.6,FR,1684205695
257,marawi,7.9986,124.2928,28.4,60,84,1.9,PH,1684205695
258,maridi,4.9158,29.4742,21.68,74,99,2.47,SS,1684205695
259,petropavlovsk-kamchatskiy,53.0452,158.6483,13.33,51,0,7.0,RU,1684205696
260,elat,29.5581,34.9482,25.91,44,3,4.12,IL,1684205696
261,schmolln,50.9,12.3667,8.11,90,8,1.54,DE,1684205696
262,moree,-29.4667,149.85,22.1,44,0,6.81,AU,1684205696
263,chuy,-33.6971,-53.4616,13.54,85,15,1.99,UY,1684205475
264,murgab,37.4966,61.9714,17.93,63,0,5.14,TM,1684205697
265,edwardsville,38.8114,-89.9532,18.75,88,0,2.57,US,1684205697
266,yalova,40.655,29.2769,13.52,76,30,2.34,TR,1684205697
267,san jeronimito,17.55,-101.3333,27.67,74,0,0.45,MX,1684205698
268,jodhpur,26.2867,73.03,30.88,56,0,8.63,IN,1684205698
269,stephenville,32.2207,-98.2023,20.25,89,100,3.6,US,1684205698
270,mbandaka,0.0487,18.2603,22.14,98,62,1.76,CD,1684205698
271,gweta,-20.1833,25.2333,18.0,47,5,2.5,BW,1684205698
272,lensk,60.7253,114.9278,9.56,30,18,3.54,RU,1684205699
273,puerto escondido,15.85,-97.0667,28.87,77,31,3.13,MX,1684205699
274,mount pleasant,32.7941,-79.8626,20.79,89,0,2.57,US,1684205517
275,tazovskiy,67.4667,78.7,-1.45,93,91,4.57,RU,1684205699
276,rio gallegos,-51.6226,-69.2181,5.03,93,40,2.06,AR,1684205699
277,cayenne,4.9333,-52.3333,25.02,94,75,0.0,GF,1684205665
278,praya,14.9215,-23.5087,22.3,78,20,5.14,CV,1684205700
